entity_type,name
microbe,Parasporobacterium
microbe,Parasutterella
microbe,Parvimonas
microbe,Parvimonas micra
microbe,Parvimonas micra ATCC 33270
microbe,Pasteurellaceae
microbe,Pathogen Cluster
microbe,Pediococcus
microbe,Pelomonas
microbe,Peptoclostridium
microbe,Peptococcaceae
microbe,Peptococcus
microbe,Peptoniphilus
microbe,Peptostreptococcaceae
microbe,Peptostreptococcaceae incertae sedis
microbe,Peptostreptococcus
microbe,Peptostreptococcus anaerobius
microbe,Peptostreptococcus micros
microbe,Peptostreptococcus sp
microbe,Peptostreptococcus stomatis
microbe,Phascolarctobacterium
microbe,Pirellula
microbe,Planctomycetes
microbe,Pneumococcus
microbe,Pneumocystidomycetes
microbe,Porphyromonadaceae
microbe,Porphyromonas
microbe,Porphyromonas endodontalis
microbe,Porphyromonas gingivalis
microbe,Porphyromonas pasteri
microbe,Porphyromonas sp
microbe,Porphyromonas sp.
microbe,Porphyromondaceae
microbe,Prevotella
microbe,Prevotella 2
microbe,Prevotella Cluster
microbe,Prevotella copri
microbe,Prevotella denticola
microbe,Prevotella gingivalis
microbe,Prevotella intermedia
microbe,Prevotella melaninogenica
microbe,Prevotella multiformis
microbe,Prevotella nanceiensis
microbe,Prevotella nigrescens
microbe,Prevotella shahii
microbe,Prevotella sp. C561
microbe,Prevotella sp. CAG: 1031
microbe,Prevotella sp. oral taxon 300
microbe,Prevotella spp
microbe,Prevotella_9
microbe,Prevotellaceae
microbe,Propionibacterium
microbe,Propionibacterium acnes
microbe,Propionibacterium freundenreichii subsp. shermanii JS
microbe,Propionicimonas
microbe,Proteobacteria
microbe,Proteobacteria uncultured members
microbe,Proteus
microbe,Providencia
microbe,Psathyrella
microbe,Psathyrellaceae
microbe,Pseudoalteromonas
microbe,Pseudobutyrivibrio
microbe,Pseudomonaceae
microbe,Pseudomonadales
microbe,Pseudomonas
microbe,Pseudomonas aeruginosa
microbe,Pseudomonas putida
microbe,Pseudomonas spp
microbe,Pseudomonas spp.
microbe,Pseudomonas stutzeri
microbe,Pseudothermotoga
microbe,Pseudoxanthomonas
microbe,Psychrobacter
microbe,Pyramidobacter spp
microbe,Rahnella
microbe,Ralstonia
microbe,Rhodobacteraceae
microbe,Rickettsiales
microbe,Rikenella
microbe,Rikenellaceae
microbe,Romboutsia
microbe,Roseburia
microbe,Roseburia hominis
microbe,Roseburia intestinalis
microbe,Roseburia inulinivorans
microbe,Roseburia species
microbe,Roseburia spp
microbe,Roseburia spp.
microbe,Roseburia-E. rectale group
microbe,Roseburia_uc
microbe,Rothia
microbe,Rothia mucilaginosa
microbe,Rubrobacter
microbe,Ruminiclostridium
microbe,Ruminiclostridium5
microbe,Ruminiclostridium_5
microbe,Ruminiclostridium_9
microbe,Ruminoclostridium
microbe,Ruminococcaceae
microbe,Ruminococcaceae UCG 014
microbe,Ruminococcaceae UCG-005
microbe,Ruminococcaceae_UCG-005
microbe,Ruminococcaceae_UCG-014
microbe,Ruminococcus
microbe,Ruminococcus albus
microbe,Ruminococcus bromii
microbe,Ruminococcus callidus
microbe,Ruminococcus flavefaciens
microbe,Ruminococcus gauvreauii
microbe,Ruminococcus gnavus
microbe,Ruminococcus obeum
microbe,Ruminococcus productus-Clostridium coccoides
microbe,Ruminococcus torques
microbe,Ruminococcus-like microbe
microbe,Ruminococcus2
microbe,Ruminococcus_2
microbe,Ruminococcus_torques_group
microbe,S Typhi
microbe,S24-7
microbe,S24-7 family
microbe,Saccharibacteria
microbe,Saccharibacteria TM7
microbe,Saccharofermentans
microbe,Saccharomyces
microbe,Saccharomyces boulardii
microbe,Saccharomyces boulardii CNCM I745
microbe,Saccharomyces cerevisiae
microbe,Saccharomycetes
microbe,Saccharopolyspora
microbe,Salmonella
microbe,Salmonella enterica serovar Paratyphi A
microbe,Salmonella enterica serovar Typhi
microbe,Salmonella sp.
microbe,Salmonella typhi
microbe,Salmonella typhimurium
microbe,Sarcina
microbe,Sclegelella
microbe,Sclerotiniaceae
microbe,Segmented Filamentous Bacteria
microbe,Segmented filamentous bacteria
microbe,Segmented-filamentous bacteria
microbe,Selenomonadales
microbe,Selenomonas
microbe,Selenomonas sputigena
microbe,Serratia
microbe,Shigella
microbe,Shigella flexneri
microbe,Shigella sonnei
microbe,Shigella sp.
microbe,Slackia
microbe,Slackia exigua
microbe,Small intestinal bacterial overgrowth (SIBO)
microbe,Sneathia sanguinegens
microbe,Solibacillus
microbe,Solobacterium
microbe,Solobacterium moorei
microbe,Sphingobium
microbe,Sphingobium yanoikuyae
microbe,Sphingomonadaceae
microbe,Sphingomonas
microbe,Sphingomonas yanoikuyae
microbe,Spirochaetes
microbe,Spirochaetes phylum
microbe,Spirochmycetes
microbe,Spiroplasmataceae
microbe,Sporobacter
microbe,Staphylococcaceae
microbe,Staphylococci
microbe,Staphylococcus
microbe,Staphylococcus aureus
microbe,Staphylococcus epidermidis
microbe,Staphylococcus pasteuri
microbe,Staphylococcus spp
microbe,Stenotrophomonas
microbe,Stenotrophomonas maltophilia
microbe,Stomatobaculum
microbe,Stoquefichus massiliensis
microbe,Streptococcaceae
microbe,Streptococcus
microbe,Streptococcus Gallolyticus
microbe,Streptococcus alactolyticus
microbe,Streptococcus anginosus
microbe,Streptococcus bovis
microbe,Streptococcus constellatus
microbe,Streptococcus equi
microbe,Streptococcus faecium
microbe,Streptococcus gallolyticus
microbe,Streptococcus gordonii
microbe,Streptococcus infantus
microbe,Streptococcus intermedius
microbe,Streptococcus mitis
microbe,Streptococcus mitis oralis pneumoniae
microbe,Streptococcus mutans
microbe,Streptococcus parasanguinis I
microbe,Streptococcus pneumoniae
microbe,Streptococcus salivarius
microbe,Streptococcus sanguinis
